Column1,Column2,Column3,Column4,Column5
Mercedes-Benz E200 Turbo AMG 2016 Car,Negotiable,5/18/2025,Wennappuwa,86600 (km)
Mercedes-Benz C200 AMG Premium 2019 Car,"Rs. 27,500,000",5/20/2025,Colombo,44500 (km)
Mitsubishi Eclipse Cross Japan 2018 SUV,"Rs. 16,600,000",5/23/2025,Maharagama,87000 (km)
Honda CRV 2019 SUV,"Rs. 20,500,000",5/23/2025,Nugegoda,98900 (km)
Honda Vezel 2016 SUV,"Rs. 11,800,000",5/23/2025,Kuliyapitiya,126000 (km)
BMW 318i SHADOW M SPORT 2018 Car,Negotiable,5/23/2025,Malabe,27000 (km)
Bajaj Pulsar 135 LS 2012 Motorbike,"Rs. 235,000",5/23/2025,Colombo,56000 (km)
Honda CRV 2019 SUV,"Rs. 20,500,000",5/23/2025,Nugegoda,98900 (km)
BMW 318i SHADOW M SPORT 2018 Car,Negotiable,5/23/2025,Malabe,27000 (km)
Honda Fit Shuttle GP7 2018 Car,"Rs. 13,250,000",5/18/2025,Tangalle,118350 (km)
Bajaj Platina 2009 Motorbike,"Rs. 235,000",5/22/2025,Battaramulla,92000 (km)
Toyota Premio G Superior 2017 Car,"Rs. 16,450,000",5/22/2025,Eheliyagoda,120000 (km)
Mitsubishi Canter 10.5ft 2011 Lorry,"Rs. 8,500,000",5/21/2025,Colombo,235000 (km)
Honda CRV Vti-L7 2024 SUV,"Rs. 32,000,000",5/22/2025,Colombo,5/22/2025
Hero Pleasure 2010 Motorbike,"Rs. 265,000",5/23/2025,Kiribathgoda,23215 (km)
Toyota Axio 2014 Car,"Rs. 9,590,000",5/21/2025,Colombo,1380000 (km)
Tata Dimo Lokka 2014 Lorry,"Rs. 2,590,000",5/23/2025,Embilipitiya,105000 (km)
Toyota Hilux 3L 2007 Pickup,"Rs. 10,500,000",5/20/2025,Kandana,187000 (km)
Hyundai Accent 2001 Car,"Rs. 2,650,000",5/23/2025,Nittambuwa,150000 (km)
Bajaj 4 Stroke 2013 Three Wheel,"Rs. 1,260,000",5/22/2025,Negombo,22560 (km)
Toyota Hilux 3L 2007 Pickup,"Rs. 10,500,000",5/20/2025,Kandana,187000 (km)
Mitsubishi Montero Sport 2007 SUV,"Rs. 10,800,000",5/23/2025,Colombo,167000 (km)
Honda Civic 2018 Car,"Rs. 14,000,000",5/17/2025,Colombo,51000 (km)
Suzuki Wagon R FX Safety 2023 Car,"Rs. 8,100,000",5/22/2025,Mirigama,9000 (km)
Bajaj Pulsar 135 LS 2012 Motorbike,"Rs. 235,000",5/23/2025,Colombo,56000 (km)
Range-Rover Evoque P240 2017 SUV,"Rs. 32,500,000",5/14/2025,Colombo,41500 (km)
Toyota Hilux 2003 Pickup,"Rs. 5,650,000",4/28/2025,Bandarawela,143585 (km)
Toyota Axio 161 2013 Car,"Rs. 9,290,000",5/22/2025,Padukka,139000 (km)
Mitsubishi Montero Sport 2007 SUV,"Rs. 10,800,000",5/23/2025,Colombo,167000 (km)
Mitsubishi Tipper 1997 Lorry,"Rs. 5,750,000",5/23/2025,Moneragala,160000 (km)

